Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
Futian,exact,P,31.22201,109.71068,9,36.81922008942985
Southeast Asian,exact,A,-6.23843,106.79917,11,44.03374148401582
Southwestern Tropical Atlantic,South Western,A,51.0,-3.16667,3,60.24350096392992
Prince Edward Islands,exact,T,-46.7455,37.83243,18,37.278745276578704
Yangtze,exact,H,31.76986,121.04664,9,52.36974201149076
Periyakuppam,exact,P,11.73921,79.36367,15,30.462800681031627
South Polar Regions,South,L,33.45876,-90.15081,3,32.7089856377989
Ghogha,exact,A,21.58009,72.19002,15,33.27485406790636
Metropolitan Region São Paulo,Metropolitan,P,40.51486,-124.14477,8,30.07793727125889
Chanthaburi Province,exact,A,12.85798,102.15434,9,54.68643609610976
Las Vegas Wash,exact,H,36.1322,-114.87888,9,53.150253206000144
Moroccan Mediterranean,Mediterranean Sea,H,35.0,20.0,22,71.78085647499321
Sao Paulo,exact,P,-23.5475,-46.63611,7,14.848134100645657
Chalos,fuzzy,P,36.655,51.4204,15,18.643357610529417
West Mediterranean Sea,West,L,51.52604,-131.16073,8,23.65557562248955
NPA,exact,S,30.35266,-87.31865,3,23.89063273817101
NIO,exact,P,43.35132,-7.11026,3,35.55208185084838
Gowa Regency,exact,A,-5.31667,119.71667,11,31.477923812698958
Hanjiang River,Hanjiang,P,26.8597,114.01299,9,62.77788416736392
Prince Rupert,exact,S,54.28611,-130.44472,9,24.051236767894935
Giglio Island,exact,P,42.35791,10.90724,22,36.970168586479794
Lakes Erie,exact,H,45.68751,-84.43753,3,21.40922664660515
Kochi city,Kochi,P,9.93988,76.26022,17,55.52510819964994
Aki Nada,exact,H,34.08628,132.73123,9,50.67097415606029
Christmas Shearwaters,Christmas,P,33.06229,-110.74261,9,53.6422042813859
Xisha,exact,P,27.66931,110.21259,9,34.0114608682162
Kollevåg,fuzzy,H,59.32926,5.74486,3,23.502594670963074
Carpathian,exact,T,60.69,-148.83056,9,27.785479134617834
Batu Bara Regency,exact,A,3.16166,99.52652,17,37.736696173669905
Hooghly estuary,Hooghly,A,22.82893,88.20099,15,47.73957580878424
