,Topic,Year,Gini Coefficient
411,24,2017,0.17643742953776773
412,24,2018,0.0
413,24,2019,0.3196510560146924
414,24,2020,0.22587268993839837
415,24,2021,0.4403954802259887
416,24,2022,0.3136535127969817
417,24,2023,0.46805064782096584
418,24,2024,0.6145833333333334
419,25,2005,0.0
420,25,2015,0.0
421,25,2017,0.34574468085106386
422,25,2018,0.2698077824660104
423,25,2019,0.24693877551020407
424,25,2020,0.3373764600179694
425,25,2021,0.3911357340720222
426,25,2022,0.35938759065269943
427,25,2023,0.5704761904761905
428,25,2024,0.696969696969697
429,26,2003,0.0
430,26,2011,0.0
431,26,2012,0.0
432,26,2014,0.0
433,26,2015,0.0005537098560354374
434,26,2016,0.33116036505867014
435,26,2017,0.4454022988505747
436,26,2018,0.24979211707966073
437,26,2019,0.32421875
438,26,2020,0.36030008110300077
439,26,2021,0.4897959183673469
440,26,2022,0.3003442340791738
441,26,2023,0.40401785714285715
442,26,2024,
443,27,2016,0.0
444,27,2017,0.09652509652509653
445,27,2019,0.0
446,27,2020,0.427713920817369
447,27,2021,0.357487922705314
448,27,2022,0.3943073248407643
449,27,2023,0.5878657629360224
450,27,2024,0.75
451,27,2025,0.0
452,28,2010,
453,28,2011,
454,28,2015,0.0
455,28,2016,0.3923076923076923
456,28,2017,0.0
457,28,2018,0.45207439198855504
458,28,2019,0.6111111111111112
459,28,2020,0.8330882661849345
460,28,2021,0.696900736887733
461,28,2022,0.8115702479338843
462,28,2023,0.7836126629422718
463,28,2024,0.6
464,29,2014,0.3774193548387097
465,29,2015,0.0
466,29,2016,0.0
467,29,2017,0.0
468,29,2018,0.1993243243243243
469,29,2019,0.5156599552572707
470,29,2020,0.4140350877192982
471,29,2021,0.5495495495495496
472,29,2022,0.5280766973195069
473,29,2023,0.4254510921177588
474,29,2024,0.7676767676767676
475,30,2017,0.0
476,30,2018,0.4487179487179488
477,30,2019,0.36290470093287
478,30,2020,0.4893635571054927
479,30,2021,0.41465677179962895
480,30,2022,0.4762988244216913
481,30,2023,0.6092001657687526
482,30,2024,0.7307692307692307
483,31,2012,0.0
484,31,2015,0.0
485,31,2016,0.0
486,31,2017,0.46577946768060835
487,31,2018,0.12495057334914988
488,31,2019,0.30522088353413657
489,31,2020,0.47060367454068236
490,31,2021,0.4101731601731602
491,31,2022,0.2967821274851404
492,31,2023,0.44742268041237115
493,31,2024,0.5775862068965517
494,32,2012,0.0
495,32,2013,0.0
496,32,2014,0.0
497,32,2016,0.0
498,32,2017,0.1570567986230637
499,32,2018,0.35427135678391963
500,32,2019,0.4991302972802024
501,32,2020,0.3680942525075626
502,32,2021,0.4704184704184704
503,32,2022,0.43029259896729777
504,32,2023,0.5199115044247787
505,32,2024,0.3333333333333333
506,33,2015,0.0
507,33,2016,0.0
508,33,2017,0.06688741721854304
509,33,2018,0.19020446980504044
510,33,2019,0.3446069469835466
511,33,2020,0.33792048929663604
512,33,2021,0.32665245202558635
513,33,2022,0.38334434897554526
514,33,2023,0.4658454647256439
515,33,2024,0.6666666666666666
516,34,2015,0.3324965769055226
517,34,2016,0.10443037974683543
518,34,2017,0.6227578475336323
519,34,2018,0.4712871287128712
520,34,2019,0.4587950138504155
521,34,2020,0.20870535714285718
522,34,2021,0.3726924416579589
523,34,2022,0.5273972602739726
524,34,2023,0.42093023255813955
525,34,2024,0.0
526,35,2013,0.0
527,35,2015,0.0
528,35,2018,0.2666666666666667
529,35,2019,0.4071246819338422
530,35,2020,0.7503810975609756
531,35,2021,0.5914948453608248
532,35,2022,0.7458167330677291
533,35,2023,0.6904761904761905
534,35,2024,0.7727272727272727
535,36,2016,0.0
536,36,2017,0.5974868261045803
537,36,2018,0.0
538,36,2019,0.4139917695473251
539,36,2020,0.6672191528545118
540,36,2021,0.5008833922261484
541,36,2022,0.5882352941176471
542,36,2023,0.5616561656165616
543,36,2024,0.8
544,37,1977,0.0
545,37,1978,0.0
546,37,1979,0.0
547,37,1980,0.09627329192546583
548,37,1982,0.0
549,37,1983,0.0
550,37,1987,0.4993523316062176
551,37,1988,0.2635869565217392
552,37,1989,0.4035087719298245
553,37,1991,0.4474885844748858
554,37,1992,0.38974358974358975
555,37,1993,0.0678391959798995
556,37,1994,0.4452554744525548
557,37,1995,0.0783068783068783
558,37,1996,0.0
559,37,1997,0.0
560,37,1998,0.07042253521126764
561,37,1999,0.0
562,37,2000,0.36679174484052535
563,37,2001,0.0
564,37,2002,0.0
565,37,2003,0.17515923566878983
566,37,2004,0.18711656441717792
567,37,2012,0.0
568,37,2020,0.0
569,38,2013,0.2397260273972603
570,38,2015,0.0
571,38,2016,0.0
572,38,2017,0.25472527472527473
573,38,2018,0.0
574,38,2019,0.043859649122807015
575,38,2020,0.4844632768361582
576,38,2021,0.353874883286648
577,38,2022,0.375886524822695
578,38,2023,0.4689054726368159
579,38,2024,0.6666666666666666
